v mitt mis miss 3	# küld, bocsát, enged; felhagy, abbahagy
v mov mov mot 2	# mozgat, indít, hajt
v narr . . 1	# mesél, elbeszél
v navig . . 1	# hajózik
v necessit . . 1	# szükséges, (pass.) kényszerül
v neg . . 1	# nemet mond, tagad, megtagad
v nomin . . 1	# nevez, kinevez vminek (acc.)
v nosc nov not 3	# ismer, megismer, tud
v occup . . 1	# elfoglal, megszáll, meglep, hatalmába kerít
v offend offend offens 3	# megtámad, megsért
v par peper part 3i	# szül, létrehoz, alkot, teremt, előidéz; szerez
v pell pepul puls 3	# elűz, elkerget
v penetr . . 1	# behatol, keresztültör (acc.); célba talál
v perd perdid perdit 3	# elront, megront; tönkretesz; elpusztít
v pet petiv petit 3	# kér, keres, kíván, követel, törekszik, megtámad
v plac placu placit 2	# tetszik, jónak látszik; kell
v pon posu posit 3	# odatesz, lehelyez, elhelyez, tálal; félretesz, lecsillapít
v port . . 1	# szállít, visz, hord
v practic . . 1	# gyakorol
v prem press press 3	# nyom, elnyom, szorít, szorongat, visszatart, közel tart vmihez (acc.); sajtol, terhel
v prob . . 1	# helyesel, elismer, bizonyít, próbára tesz, megvizsgál
v prohib prohibu prohibit 2	# távol tart, megakadályoz, megtilt
v prom promps prompt 3	# elővesz, előhoz, előterjeszt; elővarázsol; nyilatkozik vmiről (acc.)
v put . . 1	# vél, gondol, hisz
v quaer qaesiv qaesit 3	# keres, kérdez, kutat
v rap rapu rapt 3i	# megragad, elragad, elrabol
v regn . . 1	# uralkodik vki fölött (gen.)
v reg rex rect 3	# kormányoz, irányít, igazgat, kezel; játszik vmin (acc.)
v rid ris ris 2	# nevet, mosolyog
v sacr . . 1	# megszentel, felszentel; esküszik
v salut . . 1	# üdvözöl, köszönt
v sc sciv scit 4	# tud, ért, ismer
v scrib scrips script 3	# ír; kijelöl
v sent sens sens 4	# érez, érzékel; észrevesz; észlel, gondol
v separ . . 1	# elválaszt, elkülönít
v signific . . 1	# jelent, jelez, jelöl, értésére ad
v simul . . 1	# színlel, tettet
v solv solv solut 3	# felold, olvaszt, felment; kifizet, megad: (pass.) olvad, fölenged, elernyed
v son sonu sonit 1irr	# hangzik, zúg
v spect . . 1	# szemlél, szemlélődik, néz, nézeget; megtekint; tartozik vmihez (ad + acc.)
v spern sprev spret 3	# megvet, lenéz
v sper . . 1	# remél
v st stet stat 1irr	# áll; mered, fennmarad
v super . . 1	# felülmúl, fölé emelkedik, felhág, átkel; túlél
v suppl supplev supplet 2	# utána tölt, kipótol
v suspect . . 1	# gyanakszik, gyanít
v suspic susspex susspect 3i	# felnéz; gyanús szemmel néz, gyanúsít, gyanít
v tac tacu tacit 2	# hallgat
v tang tetig tact 3	# érint, elér, bánt, sújt; meghat, megsért
v ten tenu tent 2	# tart, fog, elér; lekötelez
v tract . . 1	# kezel, bánik, foglalkozik, tárgyal; részt vesz
v trad tradid tradit 3	# átad, hagyományoz; felajánl
v trah trax tract 3	# húz, von, vonz, vonszol; sző, kap
v turb . . 1	# megzavar, felkavar; háborgat
v vid vid vis 2	# lát; ügyel; vigyáz, gondoskodik
v vigil . . 1	# virraszt, ébren van
